id_x,station,name,latitude,longitude,elevation,id_y,date,prcp,tobs
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,1,2010-01-01,0.08,65.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2,2010-01-02,0.0,63.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,3,2010-01-03,0.0,74.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,4,2010-01-04,0.0,76.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,5,2010-01-06,0.0,73.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,6,2010-01-07,0.06,70.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,7,2010-01-08,0.0,64.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,8,2010-01-09,0.0,68.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,9,2010-01-10,0.0,73.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,10,2010-01-11,0.01,64.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,11,2010-01-12,0.0,61.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,12,2010-01-14,0.0,66.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,13,2010-01-15,0.0,65.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,14,2010-01-16,0.0,68.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,15,2010-01-17,0.0,64.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,16,2010-01-18,0.0,72.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,17,2010-01-19,0.0,66.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,18,2010-01-20,0.0,66.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,19,2010-01-21,0.0,69.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,20,2010-01-22,0.0,67.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,21,2010-01-23,0.0,67.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,22,2010-01-24,0.01,71.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,23,2010-01-25,0.0,67.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,24,2010-01-26,0.04,76.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,25,2010-01-27,0.12,68.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,26,2010-01-28,0.0,72.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,27,2010-01-30,0.0,70.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,28,2010-01-31,0.03,67.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,29,2010-02-01,0.01,66.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,30,2010-02-03,0.0,67.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,31,2010-02-04,0.01,69.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,32,2010-02-05,0.0,67.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,33,2010-02-06,0.0,67.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,34,2010-02-07,0.0,64.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,35,2010-02-08,0.0,69.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,36,2010-02-09,0.0,73.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,37,2010-02-11,0.0,73.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,38,2010-02-12,0.02,69.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,39,2010-02-13,0.01,69.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,40,2010-02-14,0.0,69.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,41,2010-02-15,0.0,71.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,42,2010-02-16,0.0,61.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,43,2010-02-17,0.0,69.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,44,2010-02-19,0.0,63.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,45,2010-02-20,0.03,64.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,46,2010-02-21,0.0,65.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,47,2010-02-22,0.0,67.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,48,2010-02-23,0.0,68.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,49,2010-02-24,0.0,65.0
1,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,50,2010-02-25,0.0,76.0
